timestamp,sample_count,acc_mag,gyro_mag,is_walking,step_detected,step_count,speed_ms,distance,x,y,yaw
1788520468214.0,5,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520468308.0,10,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520468402.0,15,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520468495.0,20,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520468590.0,25,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520468683.0,30,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520468779.0,35,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520468870.0,40,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520468964.0,45,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520469058.0,50,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520469151.0,55,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520469251.0,60,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520469337.0,65,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520469433.0,70,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520469525.0,75,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520469619.0,80,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520469713.0,85,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520469806.0,90,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520469900.0,95,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520469997.0,100,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520470087.0,105,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520470181.0,110,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520470274.0,115,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520470368.0,120,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520470463.0,125,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520470556.0,130,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520470649.0,135,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520470743.0,140,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520470836.0,145,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520470930.0,150,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520471027.0,155,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520471117.0,160,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520471211.0,165,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520471305.0,170,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520471398.0,175,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520471494.0,180,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520471586.0,185,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520471679.0,190,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520471778.0,195,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520471867.0,200,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520471963.0,205,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520472054.0,210,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520472147.0,215,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520472240.0,220,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520472334.0,225,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520472428.0,230,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520472522.0,235,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520472616.0,240,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520472712.0,245,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520472804.0,250,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520472898.0,255,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520472998.0,260,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520473084.0,265,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520473177.0,270,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520473271.0,275,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520473365.0,280,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520473463.0,285,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520473552.0,290,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520473647.0,295,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520473741.0,300,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520473834.0,305,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520473928.0,310,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520474023.0,315,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520474115.0,320,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520474208.0,325,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520474301.0,330,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520474395.0,335,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520474492.0,340,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520474583.0,345,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520474678.0,350,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520474770.0,355,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520474864.0,360,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520474957.0,365,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520475052.0,370,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520475150.0,375,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520475238.0,380,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520475331.0,385,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520475425.0,390,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520475519.0,395,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520475613.0,400,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520475712.0,405,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520475800.0,410,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520475896.0,415,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520475988.0,420,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520476081.0,425,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520476174.0,430,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
1788520476268.0,435,9.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
